class_date,level_category,language,course_type,q_predicted
2018-03-02 13:30:00,True Beginner,Spanish,Live,22
2018-03-02 14:00:00,True Beginner,Spanish,Live,22
2018-03-02 14:30:00,True Beginner,Spanish,Live,23
2018-03-02 15:00:00,True Beginner,Spanish,Live,24
2018-03-02 15:30:00,True Beginner,Spanish,Live,24
2018-03-02 16:00:00,True Beginner,Spanish,Live,26
2018-03-02 16:30:00,True Beginner,Spanish,Live,27
2018-03-02 17:00:00,True Beginner,Spanish,Live,28
2018-03-02 17:30:00,True Beginner,Spanish,Live,29
2018-03-02 18:00:00,True Beginner,Spanish,Live,31
2018-03-02 18:30:00,True Beginner,Spanish,Live,31
2018-03-02 19:00:00,True Beginner,Spanish,Live,32
2018-03-02 19:30:00,True Beginner,Spanish,Live,35
2018-03-02 20:00:00,True Beginner,Spanish,Live,35
2018-03-02 20:30:00,True Beginner,Spanish,Live,38
2018-03-02 21:00:00,True Beginner,Spanish,Live,41
2018-03-02 21:30:00,True Beginner,Spanish,Live,42
2018-03-02 22:00:00,True Beginner,Spanish,Live,42
2018-03-02 22:30:00,True Beginner,Spanish,Live,38
2018-03-02 23:00:00,True Beginner,Spanish,Live,32
2018-03-02 23:30:00,True Beginner,Spanish,Live,22
2018-03-03 00:00:00,True Beginner,Spanish,Live,18
2018-03-03 00:30:00,True Beginner,Spanish,Live,13
2018-03-03 01:00:00,True Beginner,Spanish,Live,8
2018-03-03 01:30:00,True Beginner,Spanish,Live,3
2018-03-03 02:00:00,True Beginner,Spanish,Live,2
2018-03-03 02:30:00,True Beginner,Spanish,Live,1
2018-03-03 03:00:00,True Beginner,Spanish,Live,0
2018-03-03 03:30:00,True Beginner,Spanish,Live,0
2018-03-03 04:00:00,True Beginner,Spanish,Live,0
2018-03-03 04:30:00,True Beginner,Spanish,Live,0
2018-03-03 05:00:00,True Beginner,Spanish,Live,0
2018-03-03 05:30:00,True Beginner,Spanish,Live,1
2018-03-03 06:00:00,True Beginner,Spanish,Live,2
2018-03-03 06:30:00,True Beginner,Spanish,Live,2
2018-03-03 07:00:00,True Beginner,Spanish,Live,4
2018-03-03 07:30:00,True Beginner,Spanish,Live,4
2018-03-03 08:00:00,True Beginner,Spanish,Live,6
2018-03-03 08:30:00,True Beginner,Spanish,Live,8
2018-03-03 09:00:00,True Beginner,Spanish,Live,13
2018-03-03 09:30:00,True Beginner,Spanish,Live,12
2018-03-03 10:00:00,True Beginner,Spanish,Live,15
2018-03-03 10:30:00,True Beginner,Spanish,Live,17
2018-03-03 11:00:00,True Beginner,Spanish,Live,19
2018-03-03 11:30:00,True Beginner,Spanish,Live,19
2018-03-03 12:00:00,True Beginner,Spanish,Live,19
2018-03-03 12:30:00,True Beginner,Spanish,Live,18
2018-03-03 13:00:00,True Beginner,Spanish,Live,18
2018-03-03 13:30:00,True Beginner,Spanish,Live,20
2018-03-03 14:00:00,True Beginner,Spanish,Live,19
2018-03-03 14:30:00,True Beginner,Spanish,Live,21
2018-03-03 15:00:00,True Beginner,Spanish,Live,21
2018-03-03 15:30:00,True Beginner,Spanish,Live,21
2018-03-03 16:00:00,True Beginner,Spanish,Live,25
2018-03-03 16:30:00,True Beginner,Spanish,Live,25
2018-03-03 17:00:00,True Beginner,Spanish,Live,26
2018-03-03 17:30:00,True Beginner,Spanish,Live,25
2018-03-03 18:00:00,True Beginner,Spanish,Live,28
2018-03-03 18:30:00,True Beginner,Spanish,Live,28
2018-03-03 19:00:00,True Beginner,Spanish,Live,29
2018-03-03 19:30:00,True Beginner,Spanish,Live,29
2018-03-03 20:00:00,True Beginner,Spanish,Live,29
2018-03-03 20:30:00,True Beginner,Spanish,Live,30
2018-03-03 21:00:00,True Beginner,Spanish,Live,33
2018-03-03 21:30:00,True Beginner,Spanish,Live,34
2018-03-03 22:00:00,True Beginner,Spanish,Live,35
2018-03-03 22:30:00,True Beginner,Spanish,Live,31
2018-03-03 23:00:00,True Beginner,Spanish,Live,25
2018-03-03 23:30:00,True Beginner,Spanish,Live,21
2018-03-04 00:00:00,True Beginner,Spanish,Live,19
2018-03-04 00:30:00,True Beginner,Spanish,Live,13
2018-03-04 01:00:00,True Beginner,Spanish,Live,9
2018-03-04 01:30:00,True Beginner,Spanish,Live,5
2018-03-04 02:00:00,True Beginner,Spanish,Live,3
2018-03-04 02:30:00,True Beginner,Spanish,Live,2
2018-03-04 03:00:00,True Beginner,Spanish,Live,2
2018-03-04 03:30:00,True Beginner,Spanish,Live,1
2018-03-04 04:00:00,True Beginner,Spanish,Live,1
2018-03-04 04:30:00,True Beginner,Spanish,Live,1
2018-03-04 05:00:00,True Beginner,Spanish,Live,2
2018-03-04 05:30:00,True Beginner,Spanish,Live,2
2018-03-04 06:00:00,True Beginner,Spanish,Live,2
