class_date,course_type,level_category,language,predicted_q
2018-02-26 09:00:00.000,Live,High Beginner,Spanish,9
2018-02-26 09:00:00.000,Private,Intermediate,Portuguese,0
2018-02-26 09:30:00.000,Private,Intermediate,Portuguese,0
2018-02-26 09:30:00.000,Live,High Beginner,Spanish,14
2018-02-26 09:30:00.000,Private,Intermediate,Spanish,1
2018-02-26 09:30:00.000,Live,Intermediate,Portuguese,2
2018-02-26 09:30:00.000,Private,True Beginner,Portuguese,1
2018-02-26 09:30:00.000,Live,True Beginner,Portuguese,3
2018-02-26 09:30:00.000,Live,Intermediate,Spanish,11
2018-02-26 09:30:00.000,Private,High Beginner,Portuguese,1
2018-02-26 09:30:00.000,Private,True Beginner,Spanish,1
2018-02-26 09:30:00.000,Live,True Beginner,Spanish,16
2018-02-26 09:30:00.000,Private,High Beginner,Spanish,1
2018-02-26 09:30:00.000,Live,High Beginner,Portuguese,4
2018-02-26 10:00:00.000,Live,High Beginner,Portuguese,2
2018-02-26 10:00:00.000,Private,High Beginner,Spanish,1
2018-02-26 10:00:00.000,Live,True Beginner,Spanish,19
2018-02-26 10:00:00.000,Private,True Beginner,Spanish,1
2018-02-26 10:00:00.000,Private,High Beginner,Portuguese,1
2018-02-26 10:00:00.000,Live,Intermediate,Spanish,11
2018-02-26 10:00:00.000,Live,True Beginner,Portuguese,2
2018-02-26 10:00:00.000,Private,True Beginner,Portuguese,0
2018-02-26 10:00:00.000,Live,Intermediate,Portuguese,2
2018-02-26 10:00:00.000,Private,Intermediate,Spanish,1
2018-02-26 10:00:00.000,Live,High Beginner,Spanish,15
2018-02-26 10:00:00.000,Private,Intermediate,Portuguese,0
2018-02-26 10:30:00.000,Private,Intermediate,Portuguese,0
2018-02-26 10:30:00.000,Live,High Beginner,Spanish,19
2018-02-26 10:30:00.000,Private,Intermediate,Spanish,1
2018-02-26 10:30:00.000,Live,Intermediate,Portuguese,2
2018-02-26 10:30:00.000,Private,True Beginner,Portuguese,0
2018-02-26 10:30:00.000,Live,True Beginner,Portuguese,3
2018-02-26 10:30:00.000,Live,Intermediate,Spanish,12
2018-02-26 10:30:00.000,Private,High Beginner,Portuguese,1
2018-02-26 10:30:00.000,Private,True Beginner,Spanish,1
2018-02-26 10:30:00.000,Live,True Beginner,Spanish,17
2018-02-26 10:30:00.000,Private,High Beginner,Spanish,1
2018-02-26 10:30:00.000,Live,High Beginner,Portuguese,3
2018-02-26 11:00:00.000,Live,High Beginner,Portuguese,3
2018-02-26 11:00:00.000,Private,High Beginner,Spanish,2
2018-02-26 11:00:00.000,Live,True Beginner,Spanish,20
2018-02-26 11:00:00.000,Private,True Beginner,Spanish,1
2018-02-26 11:00:00.000,Private,High Beginner,Portuguese,1
2018-02-26 11:00:00.000,Live,Intermediate,Spanish,13
2018-02-26 11:00:00.000,Live,True Beginner,Portuguese,3
