class_date,q_avg_14,q_current,peak_month,type,level_category,language,course_type,q_predicted
2018-02-27 14:30:00,19,0,1,1,True Beginner,Spanish,Live,26.0
2018-02-27 15:00:00,23,0,1,1,True Beginner,Spanish,Live,29.0
2018-02-27 15:30:00,23,0,1,1,True Beginner,Spanish,Live,29.0
2018-02-27 16:00:00,23,0,1,1,True Beginner,Spanish,Live,31.0
2018-02-27 16:30:00,24,0,1,1,True Beginner,Spanish,Live,31.0
2018-02-27 17:00:00,27,0,1,1,True Beginner,Spanish,Live,33.0
2018-02-27 17:30:00,30,0,1,1,True Beginner,Spanish,Live,36.0
2018-02-27 18:00:00,31,0,1,1,True Beginner,Spanish,Live,41.0
2018-02-27 18:30:00,35,0,1,1,True Beginner,Spanish,Live,42.0
2018-02-27 19:00:00,36,0,1,1,True Beginner,Spanish,Live,47.0
2018-02-27 19:30:00,45,0,1,1,True Beginner,Spanish,Live,53.0
2018-02-27 20:00:00,53,0,1,1,True Beginner,Spanish,Live,60.0
2018-02-27 20:30:00,55,0,1,1,True Beginner,Spanish,Live,64.0
2018-02-27 21:00:00,57,0,1,1,True Beginner,Spanish,Live,69.0
2018-02-27 21:30:00,55,0,1,1,True Beginner,Spanish,Live,70.0
2018-02-27 22:00:00,54,0,1,1,True Beginner,Spanish,Live,70.0
2018-02-27 22:30:00,46,0,1,1,True Beginner,Spanish,Live,64.0
2018-02-27 23:00:00,37,0,1,1,True Beginner,Spanish,Live,53.0
2018-02-27 23:30:00,29,0,1,1,True Beginner,Spanish,Live,41.0
2018-02-28 00:00:00,18,0,1,1,True Beginner,Spanish,Live,26.0
2018-02-28 00:30:00,11,0,1,1,True Beginner,Spanish,Live,16.0
2018-02-28 01:00:00,7,0,1,1,True Beginner,Spanish,Live,11.0
2018-02-28 01:30:00,4,0,1,1,True Beginner,Spanish,Live,5.0
2018-02-28 02:00:00,2,0,1,1,True Beginner,Spanish,Live,3.0
2018-02-28 02:30:00,2,0,1,1,True Beginner,Spanish,Live,2.0
2018-02-28 03:00:00,0,0,1,1,True Beginner,Spanish,Live,0.0
2018-02-28 03:30:00,0,0,1,1,True Beginner,Spanish,Live,0.0
2018-02-28 04:00:00,2,0,1,1,True Beginner,Spanish,Live,1.0
2018-02-28 04:30:00,1,0,1,1,True Beginner,Spanish,Live,1.0
2018-02-28 05:00:00,2,0,1,1,True Beginner,Spanish,Live,2.0
2018-02-28 05:30:00,1,0,1,1,True Beginner,Spanish,Live,2.0
2018-02-28 06:00:00,3,0,1,1,True Beginner,Spanish,Live,3.0
2018-02-28 06:30:00,5,0,1,1,True Beginner,Spanish,Live,5.0
2018-02-28 07:00:00,6,0,1,1,True Beginner,Spanish,Live,5.0
2018-02-28 07:30:00,7,0,1,1,True Beginner,Spanish,Live,7.0
2018-02-28 08:00:00,9,0,1,1,True Beginner,Spanish,Live,9.0
2018-02-28 08:30:00,8,0,1,1,True Beginner,Spanish,Live,11.0
2018-02-28 09:00:00,16,0,1,1,True Beginner,Spanish,Live,18.0
2018-02-28 09:30:00,15,0,1,1,True Beginner,Spanish,Live,18.0
2018-02-28 10:00:00,16,0,1,1,True Beginner,Spanish,Live,21.0
2018-02-28 10:30:00,16,0,1,1,True Beginner,Spanish,Live,22.0
2018-02-28 11:00:00,17,0,1,1,True Beginner,Spanish,Live,23.0
2018-02-28 11:30:00,18,0,1,1,True Beginner,Spanish,Live,22.0
2018-02-28 12:00:00,17,0,1,1,True Beginner,Spanish,Live,23.0
2018-02-28 12:30:00,18,0,1,1,True Beginner,Spanish,Live,23.0
2018-02-28 13:00:00,15,0,1,1,True Beginner,Spanish,Live,22.0
2018-02-28 13:30:00,21,0,1,1,True Beginner,Spanish,Live,25.0
2018-02-28 14:00:00,19,0,1,1,True Beginner,Spanish,Live,24.0
2018-02-28 14:30:00,19,0,1,1,True Beginner,Spanish,Live,25.0
2018-02-28 15:00:00,25,0,1,1,True Beginner,Spanish,Live,27.0
2018-02-28 15:30:00,23,0,1,1,True Beginner,Spanish,Live,29.0
2018-02-28 16:00:00,25,0,1,1,True Beginner,Spanish,Live,32.0
2018-02-28 16:30:00,24,0,1,1,True Beginner,Spanish,Live,32.0
2018-02-28 17:00:00,26,0,1,1,True Beginner,Spanish,Live,33.0
2018-02-28 17:30:00,28,0,1,1,True Beginner,Spanish,Live,35.0
2018-02-28 18:00:00,30,0,1,1,True Beginner,Spanish,Live,38.0
2018-02-28 18:30:00,32,0,1,1,True Beginner,Spanish,Live,41.0
2018-02-28 19:00:00,35,0,1,1,True Beginner,Spanish,Live,44.0
2018-02-28 19:30:00,41,0,1,1,True Beginner,Spanish,Live,47.0
2018-02-28 20:00:00,46,0,1,1,True Beginner,Spanish,Live,55.0
2018-02-28 20:30:00,52,0,1,1,True Beginner,Spanish,Live,57.0
2018-02-28 21:00:00,53,0,1,1,True Beginner,Spanish,Live,63.0
2018-02-28 21:30:00,49,0,1,1,True Beginner,Spanish,Live,66.0
2018-02-28 22:00:00,52,0,1,1,True Beginner,Spanish,Live,63.0
2018-02-28 22:30:00,42,0,1,1,True Beginner,Spanish,Live,57.0
2018-02-28 23:00:00,34,0,1,1,True Beginner,Spanish,Live,49.0
2018-02-28 23:30:00,27,0,1,1,True Beginner,Spanish,Live,36.0
2018-03-01 00:00:00,17,0,1,1,True Beginner,Spanish,Live,23.0
2018-03-01 00:30:00,10,0,1,1,True Beginner,Spanish,Live,13.0
2018-03-01 01:00:00,7,0,1,1,True Beginner,Spanish,Live,10.0
2018-03-01 01:30:00,4,0,1,1,True Beginner,Spanish,Live,5.0
2018-03-01 02:00:00,2,0,1,1,True Beginner,Spanish,Live,3.0
2018-03-01 02:30:00,1,0,1,1,True Beginner,Spanish,Live,1.0
2018-03-01 03:00:00,1,0,1,1,True Beginner,Spanish,Live,1.0
2018-03-01 03:30:00,0,0,1,1,True Beginner,Spanish,Live,0.0
2018-03-01 04:00:00,0,0,1,1,True Beginner,Spanish,Live,0.0
2018-03-01 04:30:00,1,0,1,1,True Beginner,Spanish,Live,1.0
2018-03-01 05:00:00,1,0,1,1,True Beginner,Spanish,Live,1.0
2018-03-01 05:30:00,3,0,1,1,True Beginner,Spanish,Live,3.0
2018-03-01 06:00:00,3,0,1,1,True Beginner,Spanish,Live,3.0
2018-03-01 06:30:00,5,0,1,1,True Beginner,Spanish,Live,5.0
2018-03-01 07:00:00,5,0,1,1,True Beginner,Spanish,Live,6.0
2018-03-01 07:30:00,5,0,1,1,True Beginner,Spanish,Live,7.0
2018-03-01 08:00:00,8,0,1,1,True Beginner,Spanish,Live,9.0
2018-03-01 08:30:00,12,0,1,1,True Beginner,Spanish,Live,12.0
2018-03-01 09:00:00,11,0,1,1,True Beginner,Spanish,Live,14.0
2018-03-01 09:30:00,13,0,1,1,True Beginner,Spanish,Live,15.0
2018-03-01 10:00:00,14,0,1,1,True Beginner,Spanish,Live,18.0
2018-03-01 10:30:00,15,0,1,1,True Beginner,Spanish,Live,19.0
2018-03-01 11:00:00,18,0,1,1,True Beginner,Spanish,Live,22.0
2018-03-01 11:30:00,16,0,1,1,True Beginner,Spanish,Live,22.0
2018-03-01 12:00:00,17,0,1,1,True Beginner,Spanish,Live,22.0
2018-03-01 12:30:00,16,0,1,1,True Beginner,Spanish,Live,21.0
2018-03-01 13:00:00,16,0,1,1,True Beginner,Spanish,Live,21.0
2018-03-01 13:30:00,18,0,1,1,True Beginner,Spanish,Live,21.0
2018-03-01 14:00:00,19,0,1,1,True Beginner,Spanish,Live,23.0
2018-03-01 14:30:00,22,0,1,1,True Beginner,Spanish,Live,25.0
2018-03-01 15:00:00,22,0,1,1,True Beginner,Spanish,Live,26.0
2018-03-01 15:30:00,25,0,1,1,True Beginner,Spanish,Live,28.0
2018-03-01 16:00:00,23,0,1,1,True Beginner,Spanish,Live,31.0
2018-03-01 16:30:00,24,0,1,1,True Beginner,Spanish,Live,29.0
2018-03-01 17:00:00,23,0,1,1,True Beginner,Spanish,Live,31.0
2018-03-01 17:30:00,28,0,1,1,True Beginner,Spanish,Live,34.0
2018-03-01 18:00:00,27,0,1,1,True Beginner,Spanish,Live,36.0
