class_date,course_type,level_category,language,predicted_q,final_q
2017-11-06 06:30:00.000,Live,True Beginner,Spanish,2.7684,3
2017-11-06 06:30:00.000,Live,High Beginner,Portuguese,0.5993,1
2017-11-06 07:00:00.000,Live,High Beginner,Spanish,5.5501,6
2017-11-06 07:00:00.000,Live,High Beginner,Portuguese,1.4096,1
2017-11-06 07:00:00.000,Live,True Beginner,Spanish,3.1379,3
2017-11-06 07:00:00.000,Private,True Beginner,Portuguese,0.4624,0
2017-11-06 07:00:00.000,Live,True Beginner,Portuguese,0.5863,1
2017-11-06 07:00:00.000,Private,High Beginner,Portuguese,0.4754,0
2017-11-06 07:00:00.000,Live,Intermediate,Spanish,3.9916,4
2017-11-06 07:00:00.000,Private,High Beginner,Spanish,0.9243,1
2017-11-06 07:00:00.000,Private,True Beginner,Spanish,0.7987,1
2017-11-06 07:00:00.000,Live,Intermediate,Portuguese,0,0
2017-11-06 07:00:00.000,Private,Intermediate,Spanish,0,0
2017-11-06 07:00:00.000,Private,Intermediate,Portuguese,0,0
2017-11-06 07:30:00.000,Live,High Beginner,Spanish,6.5856,7
2017-11-06 07:30:00.000,Private,Intermediate,Spanish,0,0
2017-11-06 07:30:00.000,Private,True Beginner,Portuguese,0.4624,0
2017-11-06 07:30:00.000,Live,High Beginner,Portuguese,1.4096,1
2017-11-06 07:30:00.000,Private,Intermediate,Portuguese,0,0
2017-11-06 07:30:00.000,Private,True Beginner,Spanish,0.7987,1
2017-11-06 07:30:00.000,Live,Intermediate,Portuguese,0.5488,1
2017-11-06 07:30:00.000,Live,Intermediate,Spanish,3.213,3
2017-11-06 07:30:00.000,Live,True Beginner,Portuguese,0.6989,1
2017-11-06 07:30:00.000,Private,High Beginner,Portuguese,0.4754,0
2017-11-06 07:30:00.000,Live,True Beginner,Spanish,4.1418,4
2017-11-06 07:30:00.000,Private,High Beginner,Spanish,0.8117,1
2017-11-06 08:00:00.000,Private,Intermediate,Portuguese,0,0
2017-11-06 08:00:00.000,Private,High Beginner,Portuguese,0.4754,0
2017-11-06 08:00:00.000,Live,High Beginner,Spanish,7.2516,7
2017-11-06 08:00:00.000,Live,High Beginner,Portuguese,1.4096,1
2017-11-06 08:00:00.000,Live,True Beginner,Portuguese,0.8116,1
2017-11-06 08:00:00.000,Live,True Beginner,Spanish,4.6142,5
2017-11-06 08:00:00.000,Private,True Beginner,Portuguese,0.4624,0
2017-11-06 08:00:00.000,Private,Intermediate,Spanish,0.8422,1
2017-11-06 08:00:00.000,Live,Intermediate,Portuguese,0.6614,1
2017-11-06 08:00:00.000,Private,High Beginner,Spanish,1.622,2
2017-11-06 08:00:00.000,Private,True Beginner,Spanish,1.024,1
2017-11-06 08:00:00.000,Live,Intermediate,Spanish,3.9916,4
2017-11-06 08:30:00.000,Private,Intermediate,Spanish,0.2888,0
2017-11-06 08:30:00.000,Private,High Beginner,Portuguese,0.4754,0
2017-11-06 08:30:00.000,Private,True Beginner,Portuguese,0.4624,0
2017-11-06 08:30:00.000,Live,High Beginner,Portuguese,1.6348,2
2017-11-06 08:30:00.000,Private,High Beginner,Spanish,1.7346,2
2017-11-06 08:30:00.000,Private,True Beginner,Spanish,0.7987,1
2017-11-06 08:30:00.000,Private,Intermediate,Portuguese,0,0
2017-11-06 08:30:00.000,Live,Intermediate,Spanish,4.1359,4
2017-11-06 08:30:00.000,Live,High Beginner,Spanish,7.9905,8
2017-11-06 08:30:00.000,Live,True Beginner,Portuguese,0.5863,1
2017-11-06 08:30:00.000,Live,True Beginner,Spanish,5.0866,5
2017-11-06 08:30:00.000,Live,Intermediate,Portuguese,1.9221,2
2017-11-06 09:00:00.000,Live,True Beginner,Spanish,7.2702,7
2017-11-06 09:00:00.000,Private,High Beginner,Portuguese,0.4754,0
2017-11-06 09:00:00.000,Live,True Beginner,Portuguese,1.6218,2
2017-11-06 09:00:00.000,Live,High Beginner,Spanish,10.3087,10
2017-11-06 09:00:00.000,Private,Intermediate,Portuguese,0,0
2017-11-06 09:00:00.000,Private,True Beginner,Spanish,0.9113,1
2017-11-06 09:00:00.000,Private,True Beginner,Portuguese,0.4624,0
2017-11-06 09:00:00.000,Private,Intermediate,Spanish,0.0635,0
2017-11-06 09:00:00.000,Live,Intermediate,Portuguese,0.8057,1
2017-11-06 09:00:00.000,Live,High Beginner,Portuguese,3.368,3
2017-11-06 09:00:00.000,Live,Intermediate,Spanish,7.3453,7
2017-11-06 09:00:00.000,Private,High Beginner,Spanish,1.7346,2
2017-11-06 09:30:00.000,Live,High Beginner,Spanish,10.8621,11
